Code_ARP;Libelle_medicament;DCI_brute;Substance_texte;Substance_norm
ARP003649;TRAVISIL CITRON - BOITE / 12;ADHORATE VASICA / PIPER LOGUM / PEPER NIGRUM / zingiber officinale/ glycirrhiza glabra/ emblica officinalis/ curcura longa/ acacia catechu/ foeniculum vul;emblica officinalis;EMBLICA OFFICINALIS
ARP003649;TRAVISIL CITRON - BOITE / 12;ADHORATE VASICA / PIPER LOGUM / PEPER NIGRUM / zingiber officinale/ glycirrhiza glabra/ emblica officinalis/ curcura longa/ acacia catechu/ foeniculum vul;curcura longa;CURCURA LONGA
ARP003649;TRAVISIL CITRON - BOITE / 12;ADHORATE VASICA / PIPER LOGUM / PEPER NIGRUM / zingiber officinale/ glycirrhiza glabra/ emblica officinalis/ curcura longa/ acacia catechu/ foeniculum vul;acacia catechu;ACACIA CATECHU
ARP003649;TRAVISIL CITRON - BOITE / 12;ADHORATE VASICA / PIPER LOGUM / PEPER NIGRUM / zingiber officinale/ glycirrhiza glabra/ emblica officinalis/ curcura longa/ acacia catechu/ foeniculum vul;foeniculum vul;FOENICULUM VUL
ARP003378;STAY SAFE PDCA 4 - POCHE / 200 ml;D.P.C.A. 2 FRESENIUS;D.P.C.A. 2 FRESENIUS;D.P.C.A. 2 FRESENIUS
ARP003377;STAY SAFE DPCA 3 - POCHE / 200 ml;D.P.C.A. 2 FRESENIUS;D.P.C.A. 2 FRESENIUS;D.P.C.A. 2 FRESENIUS
ARP001334;ENOXA - BOITE / 2 SERINGUES PRE-REMPLIES;ENOXAPARINE;ENOXAPARINE;ENOXAPARINE
ARP003236;SECEF - FLACON / 60 ml;CEFIXIME;CEFIXIME;CEFIXIME
ARP001334;ENOXA - BOITE / 2 SERIGUE PRE-REMPLIES;ENOXAPARINE;ENOXAPARINE;ENOXAPARINE
ARP001986;JUVAMINE PHYTO SEVE ROYALE - BOITE / 10;EXTRAIT D ACEROLA / EXTRAIT DE POLLEN / EXTRAIT DE PROPOLIS / GELE ROYALE / JUS CONCENTRE D’ARGOUSIER / MIEL;EXTRAIT D ACEROLA;EXTRAIT D ACEROLA
ARP001986;JUVAMINE PHYTO SEVE ROYALE - BOITE / 10;EXTRAIT D ACEROLA / EXTRAIT DE POLLEN / EXTRAIT DE PROPOLIS / GELE ROYALE / JUS CONCENTRE D’ARGOUSIER / MIEL;EXTRAIT DE POLLEN;EXTRAIT DE POLLEN
ARP001986;JUVAMINE PHYTO SEVE ROYALE - BOITE / 10;EXTRAIT D ACEROLA / EXTRAIT DE POLLEN / EXTRAIT DE PROPOLIS / GELE ROYALE / JUS CONCENTRE D’ARGOUSIER / MIEL;EXTRAIT DE PROPOLIS;EXTRAIT DE PROPOLIS
ARP001986;JUVAMINE PHYTO SEVE ROYALE - BOITE / 10;EXTRAIT D ACEROLA / EXTRAIT DE POLLEN / EXTRAIT DE PROPOLIS / GELE ROYALE / JUS CONCENTRE D’ARGOUSIER / MIEL;GELE ROYALE;GELE ROYALE
ARP001986;JUVAMINE PHYTO SEVE ROYALE - BOITE / 10;EXTRAIT D ACEROLA / EXTRAIT DE POLLEN / EXTRAIT DE PROPOLIS / GELE ROYALE / JUS CONCENTRE D’ARGOUSIER / MIEL;JUS CONCENTRE D’ARGOUSIER;JUS CONCENTRE D’ARGOUSIER
ARP001986;JUVAMINE PHYTO SEVE ROYALE - BOITE / 10;EXTRAIT D ACEROLA / EXTRAIT DE POLLEN / EXTRAIT DE PROPOLIS / GELE ROYALE / JUS CONCENTRE D’ARGOUSIER / MIEL;MIEL;MIEL
ARP003359;STA SAFE DPCA 2 - POCHE / 200 ml;D.P.C.A. 2 FRESENIUS;D.P.C.A. 2 FRESENIUS;D.P.C.A. 2 FRESENIUS
ARP000545;BIEN ETRE TONUS VITALITE - BOITE / 45;ACEROLA / ANANAS / GINSENG / GUARANA;ACEROLA;ACEROLA
ARP000545;BIEN ETRE TONUS VITALITE - BOITE / 45;ACEROLA / ANANAS / GINSENG / GUARANA;ANANAS;ANANAS
ARP000545;BIEN ETRE TONUS VITALITE - BOITE / 45;ACEROLA / ANANAS / GINSENG / GUARANA;GINSENG;GINSENG
ARP000545;BIEN ETRE TONUS VITALITE - BOITE / 45;ACEROLA / ANANAS / GINSENG / GUARANA;GUARANA;GUARANA
ARP001978;JUVAMINE FIZZ TAURINE GINSENG - BOITE / 30;CAFEINE / EXTRAIT DE GINSENG BLANC / EXTRAIT DE GUARANA / TAURINE / VITAMINE C;EXTRAIT DE GINSENG BLANC;EXTRAIT DE GINSENG BLANC
ARP001978;JUVAMINE FIZZ TAURINE GINSENG - BOITE / 30;CAFEINE / EXTRAIT DE GINSENG BLANC / EXTRAIT DE GUARANA / TAURINE / VITAMINE C;EXTRAIT DE GUARANA;EXTRAIT DE GUARANA
ARP000871;CLOMED - TUBE / 30 G;CLOBETASOL;CLOBETASOL;CLOBETASOL
ARP000544;BIEN ETRE MINCEUR - BOITE / 45;ANANAS COMOSUS / CAMELLI SINENSIS / FUCUS VESICULOSIS / PAULLINIA CUPANA / ZINGIBER OFFICINALE;ANANAS COMOSUS;ANANAS COMOSUS
ARP000544;BIEN ETRE MINCEUR - BOITE / 45;ANANAS COMOSUS / CAMELLI SINENSIS / FUCUS VESICULOSIS / PAULLINIA CUPANA / ZINGIBER OFFICINALE;CAMELLI SINENSIS;CAMELLI SINENSIS
ARP000544;BIEN ETRE MINCEUR - BOITE / 45;ANANAS COMOSUS / CAMELLI SINENSIS / FUCUS VESICULOSIS / PAULLINIA CUPANA / ZINGIBER OFFICINALE;FUCUS VESICULOSIS;FUCUS VESICULOSIS
ARP000544;BIEN ETRE MINCEUR - BOITE / 45;ANANAS COMOSUS / CAMELLI SINENSIS / FUCUS VESICULOSIS / PAULLINIA CUPANA / ZINGIBER OFFICINALE;PAULLINIA CUPANA;PAULLINIA CUPANA
ARP000544;BIEN ETRE MINCEUR - BOITE / 45;ANANAS COMOSUS / CAMELLI SINENSIS / FUCUS VESICULOSIS / PAULLINIA CUPANA / ZINGIBER OFFICINALE;ZINGIBER OFFICINALE;ZINGIBER OFFICINALE
ARP003448;SYNFLORIX - BOITE / 1 SERINGUE PRE-REMPLIE;Polysaccharide pneumococcique serotype 1-7,9, 14,18,19 / prote;Polysaccharide pneumococcique serotype 1-7,9, 14,18,19;POLYSACCHARIDE PNEUMOCOCCIQUE SEROTYPE 1 7,9, 14,18,19
ARP003448;SYNFLORIX - BOITE / 1 SERINGUE PRE-REMPLIE;Polysaccharide pneumococcique serotype 1-7,9, 14,18,19 / prote;prote;PROTE
ARP000288;APTAMIL PEPTI JUNIOR - POT / 400 G;nan;nan;NAN
ARP000286;APTAMIL HA1 - POT / 400 G;nan;nan;NAN
ARP000285;APTAMIL 2 - POT / 400 G;nan;nan;NAN
ARP000284;APTAMIL 1 - POT / 400 G;ACIDE L-ASCORBIQUE / CARBONATE DE CALCIUM / CHLORURE DE MAGNÉSIUM / CHLORURE DE POTASSIUM / CITRATE DE SODIUM TRIBASIQUE / LECITHINE DE SOJA;CITRATE DE SODIUM TRIBASIQUE;CITRATE DE SODIUM TRIBASIQUE
ARP000284;APTAMIL 1 - POT / 400 G;ACIDE L-ASCORBIQUE / CARBONATE DE CALCIUM / CHLORURE DE MAGNÉSIUM / CHLORURE DE POTASSIUM / CITRATE DE SODIUM TRIBASIQUE / LECITHINE DE SOJA;LECITHINE DE SOJA;LECITHINE DE SOJA
ARP001220;DOPAMINE BIOTIS - BOITE / 50 AMPOULES;DOPAMINE CHLORHYDRATE;DOPAMINE CHLORHYDRATE;DOPAMINE CHLORHYDRATE
ARP000269;APETIL PLUS - FLACON / 100 ml;CHLORURE DE CARNITINE / CYPROHEPTADINE / PANTETHINE;CHLORURE DE CARNITINE;CHLORURE DE CARNITINE
ARP000269;APETIL PLUS - FLACON / 100 ml;CHLORURE DE CARNITINE / CYPROHEPTADINE / PANTETHINE;PANTETHINE;PANTETHINE
ARP003704;TROYSPRIN - BOITE / 5;CARBASALATE CALCIQUE EN ACIDE ACETYL SALICYLIQUE;CARBASALATE CALCIQUE EN ACIDE ACETYL SALICYLIQUE;CARBASALATE CALCIQUE EN ACIDE ACETYL SALICYLIQUE
ARP003074;RASILEZ-HTC - BOITE / 28;ALISKIRENE / HYDROCHLOROTHIAZIDE;ALISKIRENE;ALISKIRENE
ARP002436;MYONIT INSTA - BOITE / 30;NITROGLYCERINE;NITROGLYCERINE;NITROGLYCERINE
ARP001587;FRAGMINE - BOITE / 10 SERINGUES PRE-REMPLIES;DALTEPARINE;DALTEPARINE;DALTEPARINE
ARP001346;EPHEDRINE AGUETTANT - BOITE / 10;EPHEDRINE;EPHEDRINE;EPHEDRINE
ARP000342;ASPIRINE+VITAMINE C SANOFI - BOITE / 10;ACIDE ASCORBIQUE / CARBASALATE CALCIQUE EN ACIDE ACETYL SALICYLIQUE;CARBASALATE CALCIQUE EN ACIDE ACETYL SALICYLIQUE;CARBASALATE CALCIQUE EN ACIDE ACETYL SALICYLIQUE
ARP001786;HARRAR - TUBE / 120 ml;HUIJE DE THYM / HUILE D EUCALYPTUS / HUILE DE TEREBENTINE / MENTHOL;HUIJE DE THYM;HUIJE DE THYM
ARP001786;HARRAR - TUBE / 120 ml;HUIJE DE THYM / HUILE D EUCALYPTUS / HUILE DE TEREBENTINE / MENTHOL;HUILE D EUCALYPTUS;HUILE D EUCALYPTUS
ARP001786;HARRAR - TUBE / 120 ml;HUIJE DE THYM / HUILE D EUCALYPTUS / HUILE DE TEREBENTINE / MENTHOL;HUILE DE TEREBENTINE;HUILE DE TEREBENTINE
ARP001786;HARRAR - TUBE / 120 ml;HUIJE DE THYM / HUILE D EUCALYPTUS / HUILE DE TEREBENTINE / MENTHOL;MENTHOL;MENTHOL
ARP003857;VIRIMAX - BOITE / 50 POCHETTES DE 3;Ginseng / Kolatier / Menthe Poivrée / Wild Yam / Lecithine de Soja / Vitamine E / Oxyde de Zinc / Vitamine PP / OPC Raisin / Vitamine B1;Ginseng;GINSENG
ARP003857;VIRIMAX - BOITE / 50 POCHETTES DE 3;Ginseng / Kolatier / Menthe Poivrée / Wild Yam / Lecithine de Soja / Vitamine E / Oxyde de Zinc / Vitamine PP / OPC Raisin / Vitamine B1;Kolatier;KOLATIER
ARP003857;VIRIMAX - BOITE / 50 POCHETTES DE 3;Ginseng / Kolatier / Menthe Poivrée / Wild Yam / Lecithine de Soja / Vitamine E / Oxyde de Zinc / Vitamine PP / OPC Raisin / Vitamine B1;Menthe Poivrée;MENTHE POIVREE
ARP003857;VIRIMAX - BOITE / 50 POCHETTES DE 3;Ginseng / Kolatier / Menthe Poivrée / Wild Yam / Lecithine de Soja / Vitamine E / Oxyde de Zinc / Vitamine PP / OPC Raisin / Vitamine B1;Wild Yam;WILD YAM
ARP003857;VIRIMAX - BOITE / 50 POCHETTES DE 3;Ginseng / Kolatier / Menthe Poivrée / Wild Yam / Lecithine de Soja / Vitamine E / Oxyde de Zinc / Vitamine PP / OPC Raisin / Vitamine B1;Lecithine de Soja;LECITHINE DE SOJA
ARP003857;VIRIMAX - BOITE / 50 POCHETTES DE 3;Ginseng / Kolatier / Menthe Poivrée / Wild Yam / Lecithine de Soja / Vitamine E / Oxyde de Zinc / Vitamine PP / OPC Raisin / Vitamine B1;OPC Raisin;OPC RAISIN
ARP002894;PIONORM - BOITE / 30;PIOGLITAZONE;PIOGLITAZONE;PIOGLITAZONE
ARP002144;LITACOLD - FLACON / 100 ml;CHLOPHENIRAMINE / PARACETAMOL / PHENYLEPHRINE;CHLOPHENIRAMINE;CHLOPHENIRAMINE
ARP001359;ERNST RICHTER’S TISANE - BOITE / 20;Feuille d’ortie, menthe poivree, hibiscus / karkade, anis, cum;Feuille d’ortie, menthe poivree, hibiscus;FEUILLE D’ORTIE, MENTHE POIVREE, HIBISCUS
ARP001359;ERNST RICHTER’S TISANE - BOITE / 20;Feuille d’ortie, menthe poivree, hibiscus / karkade, anis, cum;karkade, anis, cum;KARKADE, ANIS, CUM
ARP001360;ERNST RICHTER’S TISANE CIRCULATION - BOITE / 20;Fenouil, baie d’audepine, menthe, racines melisse, feuilles de romarin;Fenouil, baie d’audepine, menthe, racines melisse, feuilles de romarin;FENOUIL, BAIE D’AUDEPINE, MENTHE, RACINES MELISSE, FEUILLES DE ROMARIN
ARP003240;SEDORRHOIDE - TUBE / 30 G;nan;nan;NAN
ARP003094;RESTRIVA - BOITE / 20;METAMIZOLE;METAMIZOLE;METAMIZOLE
ARP003095;RESTRIVA INJ - BOITE / 5;METAMIZOLE;METAMIZOLE;METAMIZOLE
ARP003073;RASILEZ - BOITE / 28;ALISKIRENE;ALISKIRENE;ALISKIRENE
ARP003046;RALDOL - BOITE / 10;CHLORPHENIRAMINE / DICLOFENAC / PARACETAMOL;CHLORPHENIRAMINE;CHLORPHENIRAMINE
ARP002549;NO -SPALGIN - BOITE / 12;CODEINE / DROTAVERINE CHLOHYDRATE / PARACETAMOL;DROTAVERINE CHLOHYDRATE;DROTAVERINE CHLOHYDRATE
ARP002410;MUCASONE - TUBE / 15 G;FLUTICASONE / MUPIROCINE;FLUTICASONE;FLUTICASONE
ARP002230;MAGNEISIE SAN PELLIGRINO ANIS - FLACON / 70 G;MAGNESII HYDROXIUM / SACCHARUM;MAGNESII HYDROXIUM;MAGNESII HYDROXIUM
ARP002230;MAGNEISIE SAN PELLIGRINO ANIS - FLACON / 70 G;MAGNESII HYDROXIUM / SACCHARUM;SACCHARUM;SACCHARUM
ARP002126;LIDENE - BOITE / 12;DOXYLAMINE SUCCINATE;DOXYLAMINE SUCCINATE;DOXYLAMINE SUCCINATE
ARP000484;BAITANET D - FLACON / 120 ml;IODE DE POVIDONE;IODE DE POVIDONE;IODE DE POVIDONE
ARP000263;APAZIDE - BOITE / 16;NIFUROXAZIDE;NIFUROXAZIDE;NIFUROXAZIDE
ARP001198;DOLIPREX - BOITE / 8;ACIDE ASCORBIQUE / PARACETAMOL / PSEUDOEPHEDRINE SULFATE;PSEUDOEPHEDRINE SULFATE;PSEUDOEPHEDRINE SULFATE
ARP000484;BAITANET D - FLACON / 550 ml;IODE DE POVIDONE;IODE DE POVIDONE;IODE DE POVIDONE
ARP002437;MYONIT SR 2 - nan;ISOSORBID;ISOSORBID;ISOSORBID
ARP001759;GYNOSPAN - BOITE / 10;PHLOROGLUCINOL / TRIMETHYLPHLOROGLUCINOL;PHLOROGLUCINOL;PHLOROGLUCINOL
ARP003700;TROYNOXA - BOITE / 1 SERINGUE PRE-REMPLIE;ENOXAPARINE;ENOXAPARINE;ENOXAPARINE
ARP002558;NORCURON - BOITE / 10;VECURONIUM;VECURONIUM;VECURONIUM
ARP002232;MAGNESIE SAN PELLIGRINO - FLACON / 125 G;MAGNESII HYDROXIUM / SACCHARUM;MAGNESII HYDROXIUM;MAGNESII HYDROXIUM
ARP002232;MAGNESIE SAN PELLIGRINO - FLACON / 125 G;MAGNESII HYDROXIUM / SACCHARUM;SACCHARUM;SACCHARUM
ARP001414;EXLUTON - BOITE / 100 BLISTERS;LYNESTEROL;LYNESTEROL;LYNESTEROL
ARP003707;TULLE GRAS SOLVAY - BOITE / 10;Tissu de viscose, impregne de vaseline;Tissu de viscose, impregne de vaseline;TISSU DE VISCOSE, IMPREGNE DE VASELINE
ARP002706;OSMULE SCHT - BOITE / 10;GLUCOSE / SACCHAROSE / SODIUM / POTASSIUM / CHLORURES / CITRATES;SACCHAROSE;SACCHAROSE
ARP002706;OSMULE SCHT - BOITE / 10;GLUCOSE / SACCHAROSE / SODIUM / POTASSIUM / CHLORURES / CITRATES;CHLORURES;CHLORURES
ARP003413;SULFATE FERREUX ET ACIDE FOLIQUE PURE PHARMA - BOITE / 1000;ACIDE FOLIQUE / SULFATE DE FER;SULFATE DE FER;SULFATE DE FER
ARP000725;CEFTAZIDIME AGUETTANT - BOITE / 10 FLACONS;CEFTAZIDIME;CEFTAZIDIME;CEFTAZIDIME
ARP000725;CEFTAZIDIME AGUETTANT - BOITE / 1 FLACON;CEFTAZIDIME;CEFTAZIDIME;CEFTAZIDIME
ARP000700;CEFALORAL - BOTTE / 10;CEFIXIME;CEFIXIME;CEFIXIME
ARP000700;CEFALORAL - BOITE / 10;CEFIXIME;CEFIXIME;CEFIXIME
ARP002876;PHLOROGLUCINOL GALIEN - BOITE / 6;PHLOROGLUCINOL;PHLOROGLUCINOL;PHLOROGLUCINOL
ARP003706;TRUVADA - BOITE / 30;EMTRICITABINE / TENOFOVIR;TENOFOVIR;TENOFOVIR
ARP003390;STIMOL - BOITE / 18;MALLATE DE CITRULLINE;MALLATE DE CITRULLINE;MALLATE DE CITRULLINE
ARP003376;STAVUDINE DE MACLEODS - BOITE / 60;STAVUDINE;STAVUDINE;STAVUDINE
ARP003127;RIFAMPICINE / ISONIAZIDE / PYRAZINAMIDE / ETHAMBUTOL MACLEODS - BOITE / 672;ETHAMBUTOL / ISONIAZIDE / PYRAZINAMIDE / RIFAMPICINE;ETHAMBUTOL;ETHAMBUTOL
ARP001797;HEMORECT - TUBE / 20 G;RUSCOGENINES / TRIMEBUTINE;RUSCOGENINES;RUSCOGENINES
ARP001397;EUCHLOR - BOITE / 100;CHLORAMPHENICOL;CHLORAMPHENICOL;CHLORAMPHENICOL
ARP001389;ETHAMBUTOL MACLEODS - BOITE / 672;ETHAMBUTOL;ETHAMBUTOL;ETHAMBUTOL
ARP000507;BENZYL BENZOATE GALENTIC PHARMA - FLACON / 250 ml;BENZYLE BENZOATE;BENZYLE BENZOATE;BENZYLE BENZOATE
ARP000256;ANTI-HAEMORRHOIDS - TUBE / 30 G;BETAMETAZONE MALEATE / LIDOCAINE H / PHENYLEPHRINE HYDROCHLORIDE;BETAMETAZONE MALEATE;BETAMETAZONE MALEATE
ARP000256;ANTI-HAEMORRHOIDS - TUBE / 30 G;BETAMETAZONE MALEATE / LIDOCAINE H / PHENYLEPHRINE HYDROCHLORIDE;PHENYLEPHRINE HYDROCHLORIDE;PHENYLEPHRINE HYDROCHLORIDE
ARP001339;ENTAMIZOLE - BOITE / 30;FURATE DE DILOXANIDE / METRONIDAZOLE;FURATE DE DILOXANIDE;FURATE DE DILOXANIDE
ARP003375;STAVUDINE AUROBINDO - BOITE / 60;STAVUDINE;STAVUDINE;STAVUDINE
ARP001670;GENTEAL - TUBE / 10 G;POLYETHYLENE GLYCOLE;POLYETHYLENE GLYCOLE;POLYETHYLENE GLYCOLE
ARP001670;GENTEAL - FLACON / 10 ml;POLYETHYLENE GLYCOLE;POLYETHYLENE GLYCOLE;POLYETHYLENE GLYCOLE
ARP001432;FAMYREL - BOITE / 100 PLAQUETTES DE 28;nan;nan;NAN
ARP001431;FALCIDAR - BOITE / 3;SULFADOXINE/PYRIMETHAMINE;SULFADOXINE;SULFADOXINE
ARP001352;ERASMO - BOITE / 40;nan;nan;NAN
ARP001347;EPHEDRINE HOLDING - BOITE / 100;EPHEDRINE HYDROCHLORIDE;EPHEDRINE HYDROCHLORIDE;EPHEDRINE HYDROCHLORIDE
ARP001087;DEPO PROGESTIN - BOITE / 20;MEDROXYPROGESTARONE ACETATE;MEDROXYPROGESTARONE ACETATE;MEDROXYPROGESTARONE ACETATE
ARP000913;COARINATE FDC ENFANT - BOITE / 3;ARTESUNATE / PYRIMETHAMINE / SULFAMETHOXYPYRAZINE;ARTESUNATE;ARTESUNATE
ARP000913;COARINATE FDC ENFANT - BOITE / 3;ARTESUNATE / PYRIMETHAMINE / SULFAMETHOXYPYRAZINE;SULFAMETHOXYPYRAZINE;SULFAMETHOXYPYRAZINE
ARP000752;CERVARIX - BOITE / 1 FLACON;Proteine L du Papillomavirus Humain Type 16 / Proteine HumainT;Proteine L du Papillomavirus Humain Type 16;PROTEINE L DU PAPILLOMAVIRUS HUMAIN TYPE 16
ARP001246;DUET - BOITE / 2;LEVONORGESTREL MIVRONISE/ETHINYLESTRADIOL MICRONISE;LEVONORGESTREL MIVRONISE;LEVONORGESTREL MIVRONISE
ARP001246;DUET - BOITE / 2;LEVONORGESTREL MIVRONISE/ETHINYLESTRADIOL MICRONISE;ETHINYLESTRADIOL MICRONISE;ETHINYLESTRADIOL MICRONISE
ARP001339;ENTAMIZOLE - FLACON / 100 ml;FURATE DE DILOXANIDE / METRONIDAZOLE;FURATE DE DILOXANIDE;FURATE DE DILOXANIDE
ARP001339;ENTAMIZOLE - BOITE / 15;DILOXANIDE FUROATE / METRONIDAZOLE;DILOXANIDE FUROATE;DILOXANIDE FUROATE
ARP002587;NURFER - BOITE / 30;ACIDE FOLIQUE / FER / VITAMINE B 12 / VITAMINE C / ZINC;VITAMINE B 12;VITAMINE B 12
ARP000899;CO-OLMETEC - BOITE / 30;HYDROCHLORTHIAZIDE / OLMESARTAN;OLMESARTAN;OLMESARTAN
ARP000916;COARTEMAX - BOITE / 8;DIHYDROARTEMISININE / PIPERAQUINE PHOSPHATE;DIHYDROARTEMISININE;DIHYDROARTEMISININE
ARP003998;ZOBENOL - BOITE / 60;TRIMETAZIDINE;TRIMETAZIDINE;TRIMETAZIDINE
ARP002365;MINAVITA - FLACON / 125 ml;Vitamine A, B1, B2, B6, B12, C, D / Nicotinamide / D-panthenol;Vitamine A, B1, B2, B6, B12, C, D;VITAMINE A, B1, B2, B6, B12, C, D
ARP000323;ARTESUNATE+AMODIAQUINE SANOFI - BOITE / 25 BLISTERS DE 3;AMODIAQUINE / ARTESUNATE;AMODIAQUINE;AMODIAQUINE
ARP000323;ARTESUNATE+AMODIAQUINE SANOFI - BOITE / 25 BLISTERS DE 3;AMODIAQUINE / ARTESUNATE;ARTESUNATE;ARTESUNATE
ARP000323;ARTESUNATE+AMODIAQUINE SANOFI - BOITE / 25 BLISTERS DE 6;AMODIAQUINE / ARTESUNATE;AMODIAQUINE;AMODIAQUINE
ARP000323;ARTESUNATE+AMODIAQUINE SANOFI - BOITE / 25 BLISTERS DE 6;AMODIAQUINE / ARTESUNATE;ARTESUNATE;ARTESUNATE
ARP000194;AMONATE FDC - BOITE / 6;AMODIAQUINE / ARTESUNATE;AMODIAQUINE;AMODIAQUINE
ARP000194;AMONATE FDC - BOITE / 6;AMODIAQUINE / ARTESUNATE;ARTESUNATE;ARTESUNATE
ARP000194;AMONATE FDC - BOITE / 3;AMODIAQUINE / ARTESUNATE;AMODIAQUINE;AMODIAQUINE
ARP000194;AMONATE FDC - BOITE / 3;AMODIAQUINE / ARTESUNATE;ARTESUNATE;ARTESUNATE
ARP002507;NEUROBION CP - BOITE / 20;VITAMINE B 12 / VITAMINE B1 / VITAMINE B6;VITAMINE B 12;VITAMINE B 12
ARP001985;JUVAMINE PHYTO GINSENG / GELEE ROYALE - BOITE / 10;PHYTO GINSENG / GELEE ROYALE;PHYTO GINSENG;PHYTO GINSENG
ARP001985;JUVAMINE PHYTO GINSENG / GELEE ROYALE - BOITE / 10;PHYTO GINSENG / GELEE ROYALE;GELEE ROYALE;GELEE ROYALE
ARP001982;JUVAMINE MAGNESIUM+VITAMINES - BOITE / 45;MAGNESIUM+VITAMINES;MAGNESIUM+VITAMINES;MAGNESIUM+VITAMINES
ARP001976;JUVAMINE FIZZ GOLD MULTIVITAMINES - BOITE / 30;A, C, E, Thiamine (B1), Riboflavine (B2), Niacine (B3), Acide pantothénique (B5), B6, Biotine (B8), Acide folique (B9), D) Calcium, Cuivre, Manganèse, Magnésium, Zinc, Fer Chrome, Molybdène, Iode, Sélénium;A, C, E, Thiamine (B1), Riboflavine (B2), Niacine (B3), Acide pantothénique (B5), B6, Biotine (B8), Acide folique (B9), D) Calcium, Cuivre, Manganèse, Magnésium, Zinc, Fer Chrome, Molybdène, Iode, Sélénium;A, C, E, THIAMINE (B1), RIBOFLAVINE (B2), NIACINE (B3), ACIDE PANTOTHENIQUE (B5), B6, BIOTINE (B8), ACIDE FOLIQUE (B9), D) CALCIUM, CUIVRE, MANGANESE, MAGNESIUM, ZINC, FER CHROME, MOLYBDENE, IODE, SELENIUM
ARP000472;BACQURE - BTE/1 FLACON;CILASTATINE / IMIPENEME;IMIPENEME;IMIPENEME
ARP001973;JUVAMINE FIZZ 11 VITAMINES - BOITE / 30;Vitamine A, C,E, PP, B1,B2,B5,B6 B9, B12, D / Calcium / ManganesE / CHROME / MOLYBDENE / IODE / ZINC / MAGNESIUM;Vitamine A, C,E, PP, B1,B2,B5,B6 B9, B12, D;VITAMINE A, C,E, PP, B1,B2,B5,B6 B9, B12, D
ARP001973;JUVAMINE FIZZ 11 VITAMINES - BOITE / 30;Vitamine A, C,E, PP, B1,B2,B5,B6 B9, B12, D / Calcium / ManganesE / CHROME / MOLYBDENE / IODE / ZINC / MAGNESIUM;Calcium;CALCIUM
ARP001973;JUVAMINE FIZZ 11 VITAMINES - BOITE / 30;Vitamine A, C,E, PP, B1,B2,B5,B6 B9, B12, D / Calcium / ManganesE / CHROME / MOLYBDENE / IODE / ZINC / MAGNESIUM;CHROME;CHROME
ARP001973;JUVAMINE FIZZ 11 VITAMINES - BOITE / 30;Vitamine A, C,E, PP, B1,B2,B5,B6 B9, B12, D / Calcium / ManganesE / CHROME / MOLYBDENE / IODE / ZINC / MAGNESIUM;MOLYBDENE;MOLYBDENE
ARP003126;RICONIA - BOITE / 30;VITAMINE ET MINERAUX;VITAMINE ET MINERAUX;VITAMINE ET MINERAUX
ARP003540;TENOFOVIR+LAMIVUDINE MATRIX - BOITE / 30;LAMIVIDUNE / TENOFOVIR;TENOFOVIR;TENOFOVIR
ARP003539;TENOFOVIR+EMTRICITABINE MATRIX - BOTE / 30;EMTRICITABINE / TENOFOVIR;TENOFOVIR;TENOFOVIR
ARP003538;TENOFOVIR MATRIX - BOITE / 30;TENOFOVIR;TENOFOVIR;TENOFOVIR
ARP000332;ASCAL - BOITE / 20;CARBASALATE CALCIQUE EN ACIDE ACETYL SALICYLIQUE;CARBASALATE CALCIQUE EN ACIDE ACETYL SALICYLIQUE;CARBASALATE CALCIQUE EN ACIDE ACETYL SALICYLIQUE
ARP004007;ZOLPIDEM ARROW - BOITE / 14;ZOLPIDEM;ZOLPIDEM;ZOLPIDEM
ARP000468;B-VIT FORT - BOITE / 100;VITAMINE B 12 / VITAMINE B1 / VITAMINE B6;VITAMINE B 12;VITAMINE B 12
ARP003597;THIOBACTIN - FLACON / 60 ml;THIAMPHENICOL;THIAMPHENICOL;THIAMPHENICOL
ARP002526;NEXEN - BOITE / 10;NIMESULIDE;NIMESULIDE;NIMESULIDE
ARP002239;MALACUR - BOITE / 8;DIHYDROARTEMISININE / PHOSPHATE DE PIPERAQUINE;DIHYDROARTEMISININE;DIHYDROARTEMISININE
ARP001507;FLIXOTIDE - FLACON / 60 DOSES;FLUTICASONE;FLUTICASONE;FLUTICASONE
ARP001440;FASTORIK-N - FLACON / 10 ml;XYLOMETAZOLINE;XYLOMETAZOLINE;XYLOMETAZOLINE
ARP001439;FASTORIK N - FLACON / 10 ml;XYLOMETAZOLINE;XYLOMETAZOLINE;XYLOMETAZOLINE
ARP001305;ELERON - BOITE / 10;ACIDE FOLIQUE / FER III;FER III;FER III
ARP001116;DEXERYL - TUBE / 250 G;GLYCEROL / PARAFINE / VASELINE;PARAFINE;PARAFINE
ARP000912;COARINATE FDC - BOITE / 3;ARTESUNATE / PYRIMETHAMINE / SULFAMETHOXYPYRAZINE;ARTESUNATE;ARTESUNATE
ARP000912;COARINATE FDC - BOITE / 3;ARTESUNATE / PYRIMETHAMINE / SULFAMETHOXYPYRAZINE;SULFAMETHOXYPYRAZINE;SULFAMETHOXYPYRAZINE
