Code_ARP;Libelle_medicament
ARP003985;ZINC OLIGOSOL - BOITE / 14
ARP003056;RAMPIL - BOITE / 30
ARP002691;ORELOX - BOITE / 10
ARP002566;NORVEL - BOITE / 2
ARP002545;NIMBEX - BOITE / 5
ARP001996;KAZOL - TUBE / 15 G
ARP001923;INTELENCE - BOITE / 120
ARP001785;HAPENZ - FLACON / 200 ml
ARP001688;GLIPIRYL - BOITE / 30
ARP001492;FIXINECT - BOITE / 10
ARP003513;TEGELINE - FLACON / 50 ml
ARP003328;SOUFRE OLIGOSOL - BOITE / 28
ARP003080;REGULIX - BOITE / 20
ARP002687;OPTOVISC CY - FLACON / 10 ml
ARP002244;MANGANESE OLIGOSOL - BOITE / 14
ARP002236;MAGNESIUM-CUIVRE - BOITE / 28
ARP002150;LITHIUM OLIGOSOL - BOITE / 28
ARP001458;FENTANYL MEDIS - BOITE / 10
ARP001310;ELLA ONE - BOITE / 1
ARP000523;BETAMETHASONE ARROW - BOITE / 20
ARP000523;BETAMETHASONE ARROW - 0,05% BUV GTTE F30ml FLACON / 30 ml
ARP003987;ZINC-NICKEL-COBALT - BOITE / 28
ARP003907;WIJTOL - BOITE / 50
ARP003246;SELENIUM OLIGOSOL - BOITE / 28
ARP002847;PERINTEC - BOITE / 30
ARP001430;FACTAME - FLACON / 2,5 ml
ARP003836;VIALEBEX - FLACON / 100 ml
ARP003836;VIALEBEX - FLACON / 50 ml
ARP003513;TEGELINE - FLACON / 200 ml
ARP003513;TEGELINE - FLACON / 100 ml
ARP003513;TEGELINE - FLACON / 10 ml
ARP001430;FACTAME - FLACON / 5 ml
ARP001430;FACTAME - FLACON / 10 ml
ARP003805;VASTOR-AM - BOITE / 30
ARP003449;SYNGAB - BOITE / 35
ARP003343;SPINOX - BOITE / 30
ARP003086;RENERVE PLUS - BOITE / 30
ARP002836;PENGESIC - BOITE / 30
ARP002143;LISTAN H - BOITE / 30
ARP002006;KETOFEN - TUBE / 15 G
ARP001561;FLUSTAPH - BOITE / 24
ARP000588;BLUSH - BOITE / 5
ARP000148;ALVOZINE - BOITE / 10
ARP003228;SAYANA PRESS - FLACON / 0,65 ml
ARP003792;VALPROATE SODIUM ZENTIVA - FLACON / 40 ml
ARP003308;SOCLAV NOURRISSON - FLACON / 30 ml
ARP003307;SOCLAV ENFANT - FLACON / 60 ml
ARP003261;SERESTA - BOITE / 20
ARP003175;ROVATOR - BOITE / 30
ARP003150;RITHINEX - FLACON / 60 ml
ARP002575;NOVOCLIN - BOITE / 24
ARP002454;NACNEX - BOITE / 10
ARP001542;FLUDOL - BOITE / 100
ARP001541;FLUDITEC - BOITE / 15
ARP000928;COLESTOP - BOITE / 30
ARP000661;CANSAAR PLUS - BOITE / 30
ARP000327;ARTIC - BOITE / 20
ARP000292;ARCOXIA - BOITE / 7
ARP000240;ANDARAN HCT - BOITE / 30
ARP000060;AERIUS SP - FLACON / 60 ml
ARP004011;ZOPAN - BOITE / 100
ARP003717;TYLOL HOT - BOITE / 12
ARP003692;TRONID - BOITE / 100
ARP003385;STERITAX - BOITE / 1
ARP002926;POLYVITA-M - BOITE / 5
ARP002533;NICICALCIUM - BOITE / 24
ARP000292;ARCOXIA - BOITE / 100
ARP000292;ARCOXIA - BOITE / 28
ARP000439;AmlOVAS-AT - BOITE / 30
ARP000239;ANDARAN - BOITE / 30
ARP003150;RITHINEX - BOITE / 10
ARP002761;PANADOL RHUME ET GRIPPE CP - BOITE / 16
ARP001558;FLUR - BOITE / 30
ARP002090;LEOS - BOITE / 25
ARP001558;FLUR - BOITE / 20
ARP003199;SAFLU - FLACON / 120 DOSES
ARP002622;OEDES - BOITE / 28
ARP003920;XENETIX - FLACON / 200 ml
ARP003566;TERCYD - TUBE / 15 G
ARP002990;PROSTAM - BOITE / 30
ARP002781;PARACETAMOL / TRAMADOL BAILLY-CREAT - BOITE / 100
ARP002705;OSMALOX - BOITE / 20
ARP002480;NECPOD - BOITE / 10
ARP002474;NAZAIR - FLACON / 100 DOSES
ARP002019;KINAFON - BOITE / 10
ARP001910;INSTACLOP - BOITE / 30
ARP001831;HUMEX MIEL CITRON - BOITE / 24
ARP001830;HUMEX - BOITE / 24
ARP001749;GYALA - FLACON / 30 ml
ARP001548;FLUIMUCIL - BOITE / 18
ARP001236;DRENOXOL - BOITE / 20
ARP000833;CIPTINZ - BOITE / 10
ARP000766;CEXOLAN - FLACON / 2,5 ml
ARP000737;CELEBID - BOITE / 30
ARP000407;AZITHRO - BOITE / 6
ARP000300;ARTECOM - FLACON / 60 ml
ARP000260;ANXIOMYL - BOITE / 30
ARP000161;AMEP - BOITE / 28
ARP000161;AMEP - BOITE / 56
ARP001749;GYALA - BOITE / 5
ARP001655;GENPAR - FLACON / 100 ml
ARP003942;YANG CHUN - BOITE / 2
ARP003257;SEPTYL BAIN DE BOUCHE - FLACON / 80 ml
ARP001657;GENSET - FLACON / 30 ml
ARP002899;PIROXCAM SOTHEMA - BOITE / 10
ARP000087;ALCER - BOITE / 30
ARP001528;FLUCOGEN - BOITE / 12
ARP003990;ZING OD - BOITE / 10
ARP003753;UNISPIRA - BOITE / 10
ARP002223;M-VITAMINE C - BOITE / 100
ARP002221;M-SALBUTAMOL - FLACON / 200 DOSES
ARP002025;KLIPAL CODEINE - BOITE / 12
ARP001940;ISOCALCIUM D - BOITE / 24
ARP001900;INFIXIM - FLACON / 60 ml
ARP000685;CARDOX - BOITE / 30
ARP003628;TOPICAL 3 - POT / 250 ml
ARP003310;SOLCER - BOITE / 1
ARP002543;NIFLUMENE - BOITE / 8
ARP001941;ISOFLURANE - FLACON / 100 ml
ARP001728;GRISEOFON - BOITE / 20
ARP001586;FRADEX - FLACON / 200 ml
ARP000879;CLORAXENE - BOITE / 30
ARP000012;ACEFLAMEX - BOITE / 20
ARP002015;KETOPROFENE WINTHROP - BOITE / 30
ARP001941;ISOFLURANE - FLACON / 250 ml
ARP003044;RABWIN - BOITE / 30
ARP002222;M-TERBINAFINE - TUBE / 20 G
ARP001902;INFUCEF - BOITE / 10
ARP002345;METRONIDAZOLE WINTHROP - BOITE / 100
ARP002343;METRONIDAZOLE SURGI & MEDIC - BOITE / 1000
ARP001723;GRIPLYSE 500 mg/5 mg/2 mg/20 mg - BOITE / 20
ARP001683;GLIMEPIRIDE WINTHROP - BOITE / 30
ARP004016;ZYLTAN - BOITE / 30
ARP003989;ZING - FLACON / 60 ml
ARP003982;ZIMEX - BOITE / 1 FLACON
ARP003814;VENTESYL - FLACON / 100 ml
ARP003694;TROPHYL E - BOITE / 8
ARP003432;SURECURE - TUBE / 30 G
ARP003165;RONALIN - BOITE / 30
ARP003082;RELAXIUM - BOITE / 30
ARP002884;PHYTORAL SHAMP - FLACON / 100 ml
ARP002384;MOLSICOR - BOITE / 30
ARP002342;METRONIDAZOLE STERING - BOITE / 10
ARP002274;MEFLONATE - BOITE / 6
ARP002274;MEFLONATE - FLACON / 30 ml
ARP002151;LIVOZED - BOITE / 10
ARP001900;INFIXIM - BOITE / 30
ARP001853;HYQUIN - BOITE / 30
ARP001784;HALOTHANE - FLACON / 250 ml
ARP001646;GENCLAV - BOITE / 16
ARP001496;FLAGYL AROME CITRON - FLACON / 60 ml
ARP001460;FER ACIDE FOLIQUE WINTHROP - BOITE / 1000
ARP001377;ESLOTIN - FLACON / 120 ml
ARP001171;DIPREZAR FORT - BOITE / 28
ARP001118;DEXTROCIDINE - FLACON / 150 ml
ARP000640;CACEF - BOITE / 6
ARP000547;BIFOSA - BOITE / 4
ARP000486;BALLONYL - BOITE / 60
ARP000259;ANTIPLATT - BOITE / 30
ARP003697;TROPHYL N PLUS - BOITE / 8
ARP003696;TROPHYL N - BOITE / 8
ARP003695;TROPHYL E PLUS - BOITE / 8
ARP003289;SIMVAX - BOITE / 30
ARP000696;CD3 - BOITE / 24
ARP000170;AMIODAR 200mg CP - BOITE / 30
ARP003083;RELENZA - 1 DISKHALER / 5 DISQUES DE 4 RECIPIENTS UNIDOSES
ARP001925;INUCEF - BOITE / 10
ARP003438;SUTRIL NEO - BOITE / 60
ARP003438;SUTRIL NEO - BOITE / 30
ARP003920;XENETIX - FLACON / 100 ml
ARP003920;XENETIX - FLACON / 50 ml
ARP003418;SUNLIFE VITAMINE A-Z+LUTEINE - BOITE / 60
ARP003417;SUNLIFE - TUBE / 20
ARP002681;OPTIDEX-T CY - FLACON / 5 ml
ARP001307;ELICA - TUBE / 30 G
ARP001217;DOMPY - FLACON / 200 ml
ARP001157;DIETAZ - FLACON / 125 ml
ARP000707;CEFEXOL - FLACON / 30 ml
ARP000246;ANGIZAAR - BOITE / 30
ARP001466;FERLIX - BOITE / 9
ARP003915;XARELTO - BOITE / 10
ARP002154;LODINE - BOITE / 20
ARP001438;FASTORIK - BOITE / 20
ARP000988;CRESTOR - BOITE / 30
ARP000956;CORNEREGEL - TUBE / 10 G
ARP003673;TRIFAMOX IBL - FLACON / 60 ml
ARP003673;TRIFAMOX IBL - BOITE / 1
ARP003662;TRIALGIC - BOITE / 24
ARP002838;PENTASA - BOITE / 5
ARP002830;PEDIAVIT SP - FLACON / 100 ml
ARP002823;PAVEN - FLACON / 100 ml
ARP002708;OSPEN - FLACON / 60 ml
ARP002552;NOCOLIC BB - FLACON / 130 ml
ARP002374;MIRENA - BOITE / 1
ARP001939;IRYS - BOITE / 30
ARP001636;GDU-L - BOITE / 7 KITS DE 7
ARP001515;FLOTRAL - BOITE / 10
ARP001467;FERLIX B12 - FLACON / 200 ml
ARP001453;FEMARA - BOITE / 30
ARP000921;COFANTRINE - BOITE / 6
ARP000401;AZARGA - FLACON / 5 ml
ARP000306;ARTELAC - FLACON / 10 ml
ARP000294;ARIMIDEX - BOITE / 30
ARP000291;ARBITEL - BOITE / 30
ARP000492;BD-LOX - BOITE / 10
ARP002306;METEOSPASMYL - BOITE / 30
ARP002104;LEVO BD - BOITE / 1
ARP001514;FLOTAC - BOITE / 20
ARP001384;ESOREST - BOITE / 10
ARP001311;ELOXATIN - FLACON / 20 ml
ARP003142;RINGER LACTATE DOUBLE DOVE - FLACON / 500 ml
ARP002794;PARACETAMOL WINTHROP - BOITE / 20
ARP001924;INTRAXONE 1 G - BOITE / 1 FLACON
ARP001699;GLUCOSE ISOTONIQUE - FLACON / 500 ml
ARP002000;KESTINE - BOITE / 10
ARP000862;CLAVUJECT - BOITE / 1 FLACON
ARP003942;YANG CHUN - BOITE / 6
ARP003708;TUSSIDANE - FLACON / 125 ml
ARP003648;TRAUSAN - FLACON / 50 ml
ARP003621;TODAY PILL - BOITE / 2
ARP003280;SHELCAL - BOITE / 30
ARP003183;RUBIX HOT GEL - TUBE / 30 G
ARP003000;PULMODEXANE - BOITE / 12
ARP002620;ODAFT - BOITE / 1
ARP002368;MINOLIP - BOITE / 10
ARP002286;MELOCAM - BOITE / 50
ARP002174;LORACTIV - FLACON / 60 ml
ARP001878;IMAZOLE - BOITE / 3
ARP001671;GINIL - FLACON / 250 ml
ARP001217;DOMPY - BOITE / 30
ARP001158;DIFENASOL - FLACON / 5 ml
ARP001124;DIAMICRON - BOITE / 30
ARP000951;COOLZ - FLACON / 200 ml
ARP000753;CESAVESS - BOITE / 1 FLACON
ARP000326;ARTHEPA-I - BOITE / 6
ARP000300;ARTECOM - BOITE / 12
ARP000164;AMICIN - BOITE / 1
ARP000154;AMAPINE - BOITE / 30
ARP000140;ALTRAFLAM - BOITE / 10
ARP003646;TRANSLIPO-C - TUBE / 20 G
ARP003632;TORLASINE - BOITE / 12
ARP003500;TASONE - TUBE / 15 G
ARP003119;RHOCLONE - BOITE / 1 FLACON
ARP002948;PREFACE R - BOITE / 30
ARP002941;PRAZIQUANTEL ERNEST - BOITE / 100
ARP002427;MYCOLEX - TUBE / 20 G
ARP002272;MEDVITE - FLACON / 200 ml
ARP001212;DOMADOL - BOITE / 10
ARP001205;DOLORA - BOITE / 20
ARP000721;CEFOVIT FORTE - FLACON / 60 ml
ARP000505;BENZOX - TUBE / 40 G
ARP000534;BI PROFENID - BOITE / 20
ARP003557;TERBITACK - TUBE / 15 G
ARP003511;TECPRIL - BOITE / 30
ARP003480;TAGERA FORTE - BOITE / 2
ARP003371;STARVAL HTC - BOITE / 30
ARP003370;STARVAL - BOITE / 30
ARP002974;PROFENID PEDIATRIQUE - FLACON / 150 ml
ARP002644;OKA-OMEPRAZOLE INJ - FLACON / 10 ml
ARP002353;MICONA - TUBE / 40 G
ARP001754;GYNO-MYCOLEX - BOITE / 3
ARP001133;DIAPRIDE PLUS - BOITE / 30
ARP001132;DIAPRIDE FORTE - BOITE / 30
ARP000954;CORBIS-H - BOITE / 30
ARP000546;BIEN-ETRE PREBIOPRO - BOITE / 45
ARP000527;BETAZIDIM - BOITE / 1 FLACON
ARP000257;ANTICID PLUS - FLACON / 200 ml
ARP003596;THIAZILIX - BOITE / 30
ARP003237;SECUFEM - BOITE / 1
ARP001334;ENOXA - BOITE / 2 SERINGUES PRE-REMPLIES
ARP000721;CEFOVIT FORTE - FLACON / 20 GELULES
ARP000710;CEFIM - BOITE / 6
ARP000522;BETAMED - BOITE / 5
ARP003652;TRAVISIL SANS SUCRE - FLACON / 100 ml
ARP003651;TRAVISIL ORANGE - BOITE / 12
ARP003650;TRAVISIL GINGEMBRE - BOITE / 16
ARP003649;TRAVISIL CITRON - BOITE / 12
ARP003485;TAMIFLU - BOITE / 10
ARP003373;STATICOL - BOITE / 14
ARP002294;MEPAFLOXINE - BOITE / 5
ARP002185;LOSATRUST-H - BOITE / 30
ARP002088;LEEFLOX - FLACON / 5 ml
ARP001819;HISPRIL A - BOITE / 30
ARP001818;HISPRIL - BOITE / 30
ARP001328;ENEAS - BOITE / 30
ARP000860;CLAVICIN - BOITE / 1
ARP000525;BETANOL - TUBE / 30 G
ARP000522;BETAMED - TUBE / 30 G
ARP003378;STAY SAFE PDCA 4 - POCHE / 200 ml
ARP003377;STAY SAFE DPCA 3 - POCHE / 200 ml
ARP002716;OXACILLINE NORTH CP CHINE - FLACON / 60 ml
ARP001729;GRISEOFULINE CREAT - BOITE / 100
ARP001663;GENTAMED - TUBE / 5 G
ARP001663;GENTAMED - FLACON / 5 ml
ARP001338;ENTAMED - TUBE / 5 G
ARP000516;BETA-SALIC - TUBE / 30 G
ARP004005;ZOLINE - BOITE / 10
ARP003236;SECEF - FLACON / 60 ml
ARP001684;GLIMITAB - BOITE / 30
ARP001334;ENOXA - BOITE / 2 SERIGUE PRE-REMPLIES
ARP002994;PROUZIAC - BOITE / 20
ARP001986;JUVAMINE PHYTO SEVE ROYALE - BOITE / 10
ARP003359;STA SAFE DPCA 2 - POCHE / 200 ml
ARP003062;RANFERON PLUS - BOITE / 30
ARP003043;RABIRAL - BOITE / 25
ARP001410;EXFORGE - BOITE / 28
ARP001332;ENHANCIN - BOITE / 1
ARP000978;COVERSYL - BOITE / 30
ARP000861;CLAVIREX - BOITE / 1 FLACON
ARP000727;CEFTRAL - BOITE / 1 FLACON
ARP000545;BIEN ETRE TONUS VITALITE - BOITE / 45
ARP003482;TAHOR - BOITE / 90
ARP003269;SERTRALINE PFIZER - BOITE / 28
ARP003045;RACIPER - BOITE / 14
ARP002021;KINAL CODEINE - BOITE / 3 BLISTERS DE 6
ARP001978;JUVAMINE FIZZ TAURINE GINSENG - BOITE / 30
ARP001287;EDICIN - BOITE / 1
ARP000871;CLOMED - TUBE / 30 G
ARP000861;CLAVIREX - BOITE / 30
ARP000843;CLAMOXYL - BOITE / 12
ARP000544;BIEN ETRE MINCEUR - BOITE / 45
ARP000882;CLOTRIDERM - BOITE / 6
ARP000881;CLOTRIDEM - TUBE / 30 G
ARP001677;GLIBOMET - BOITE / 40
ARP003693;TRONOTHANE - TUBE / 30 G
ARP003611;TIORFAN - BOITE / 16
ARP003611;TIORFAN - BOITE / 20
ARP003448;SYNFLORIX - BOITE / 1 SERINGUE PRE-REMPLIE
ARP002424;MUVAGEL 0,1% - BOITE / 8 MONODOSES DE 5 ml
ARP002424;MUVAGEL 0,1% - BOITE / 4 MONODOSES DE 5 ml
ARP002367;MINIRINMELT - BOITE / 30
ARP001689;GLIVEC - BOITE / 30
ARP001411;EXFORGE HTC - BOITE / 28
ARP001177;DISMATEX - BOITE / 40
ARP000977;COVERAM - BOITE / 30
ARP000977;COVERAM - BOITE / 10
ARP000419;AZYTER - BOITE / 6 UNIDOSES
ARP000392;AVODART - BOITE / 30
ARP000296;ARIXTRA - BOITE / 2 SERINGUES PRE-REMPLIES
ARP000288;APTAMIL PEPTI JUNIOR - POT / 400 G
ARP000286;APTAMIL HA1 - POT / 400 G
ARP000285;APTAMIL 2 - POT / 400 G
ARP000284;APTAMIL 1 - POT / 400 G
ARP002582;NUGREL - BOITE / 30
ARP003704;TROYSPRIN - BOITE / 5
ARP003403;SUFENTANIL BIOTIS PHARMA - BOITE / 10
ARP003089;RES-Q - FLACON / 200 ml
ARP002373;MIRCERA - BOITE / 1 SERINGUE PRE-REMPLIE
ARP002231;MAGNESIA SANS PELLIGRINO - FLACON / 100 G
ARP001220;DOPAMINE BIOTIS - BOITE / 50 AMPOULES
ARP000269;APETIL PLUS - FLACON / 100 ml
ARP003872;VITAMINE B12 BIOTIS PHARMA - BOITE / 10
ARP003074;RASILEZ-HTC - BOITE / 28
ARP003037;QUINOLOX - BOITE / 20
ARP002436;MYONIT INSTA - BOITE / 30
ARP002400;MORPHINE BIOTIS PHARMA - BOITE / 10
ARP002359;MIDAZOLAM BIOTIS PHARMA - BOITE / 10
ARP002229;MAG 2 PLUS - FLACON / 125 ml
ARP002167;LOPERIUM - BOITE / 20
ARP002163;LONGAMYCINE - BOITE / 8
ARP002128;LIDOCAINE BIOTIS PHARMA - BOITE / 10
ARP001693;GLUCONATE DE CALCIUM AGUETTANT - BOITE / 50
ARP001617;GALVUS - BOITE / 28
ARP001587;FRAGMINE - BOITE / 10 SERINGUES PRE-REMPLIES
ARP001346;EPHEDRINE AGUETTANT - BOITE / 10
ARP001099;DEROXAT - BOITE / 14
ARP000932;COLLUDOL - FLACON / 30 ml
ARP000722;CEFPODOXIME ARROW - BOITE / 10
ARP000627;BUPIVACAINE BIOTIS PHARMA - BOITE / 20
ARP000626;BUPIVACAINE AGUETTANT - BOITE / 10
ARP000624;BUPITROY - BOITE / 1
ARP000368;ATROPINE SULFATE BIOTIS - BOITE / 10 AMPOULES
ARP000171;AMIODARONE AGUETTANT - BOITE / 10
ARP000165;AMIKACINE BIOTIS PHARMA - BOITE / 20
ARP002128;LIDOCAINE BIOTIS PHARMA - BOITE / 10 FLACONS
ARP000342;ASPIRINE+VITAMINE C SANOFI - BOITE / 10
ARP003737;ULTRAM - BOITE / 10
ARP001786;HARRAR - TUBE / 120 ml
ARP001311;ELOXATIN - FLACON / 10 ml
ARP000943;COLTRAX - BOITE / 12
ARP000620;BUDESONIDE ARROW - BOITE / 20 DOSES
ARP003857;VIRIMAX - BOITE / 50 POCHETTES DE 3
ARP002894;PIONORM - BOITE / 30
ARP002193;LUCENTIS - FLACON / 5 ml
ARP002144;LITACOLD - FLACON / 100 ml
ARP002091;LERIN - BOITE / 30
ARP001359;ERNST RICHTER’S TISANE - BOITE / 20
ARP000383;AVAS - BOITE / 30
ARP003711;TUSSIPAX ENFANT SIROP FLACON - FLACON / 120 ml
ARP002119;LEVOTOP - BOITE / 10
ARP002091;LERIN - BOITE / 5
ARP001669;GENTASOL - FLACON / 5 ml
ARP001360;ERNST RICHTER’S TISANE CIRCULATION - BOITE / 20
ARP000142;ALUMINIUM MAGNESIUM SELS - BOITE / 1000
ARP003732;ULCIRID - BOITE / 7 KITS DE 7
ARP003666;TRIBUTINE - BOITE / 20
ARP003645;TRANSILAC - BOITE / 20
ARP003545;TENSICARD AM - BOITE / 30
ARP003296;SIROFEN - FLACON / 150 ml
ARP003241;SEDORRHOIDE SUPPO - BOITE / 8
ARP003240;SEDORRHOIDE - TUBE / 30 G
ARP003157;RODERA - BOITE / 10
ARP003094;RESTRIVA - BOITE / 20
ARP003095;RESTRIVA INJ - BOITE / 5
ARP003073;RASILEZ - BOITE / 28
ARP003046;RALDOL - BOITE / 10
ARP002774;PANTOTAB - BOITE / 30
ARP002549;NO -SPALGIN - BOITE / 12
ARP002486;NEOCIP - FLACON / 5 ml
ARP002486;NEOCIP - FLACON / 100 ml
ARP002410;MUCASONE - TUBE / 15 G
ARP002281;MEGESTRON - BOITE / 25
ARP002230;MAGNEISIE SAN PELLIGRINO ANIS - FLACON / 70 G
ARP002199;LUMARTEM - FLACON / 60 ml
ARP002126;LIDENE - BOITE / 12
ARP002106;LEVOBACT - BOITE / 10
ARP001259;DYNAPAR AQ - BOITE / 5
ARP001258;DYNAPAR - BOITE / 100
ARP001155;DICLOWAL INJ - BOITE / 2
ARP001139;DICETEL - BOITE / 20
ARP001131;DIAPRIDE - BOITE / 30
ARP001068;DAWAWATE-G - TUBE / 15 G
ARP001067;DAWACEF - BOITE / 100
ARP000998;CROMOPTIC - FLACON / 10 ml
ARP000970;COTIPRED - BOITE / 20
ARP000855;CLARTEC - FLACON / 60 ml
ARP000737;CELEBID - BOITE / 20
ARP000670;CAPTOPRIL+HCT DENK - BOITE / 30
ARP000484;BAITANET D - FLACON / 120 ml
ARP000397;AXEN - BOITE / 10
ARP000304;ARTEFAN SP - FLACON / 60 ml
ARP000263;APAZIDE - BOITE / 16
ARP000195;AMOSEC - BOITE / 2
ARP000030;ACLAV - BOITE / 12
ARP003198;S.FUSIDIQUE - TUBE / 15 G
ARP000692;CATAFLAM - FLACON / 120 ml
ARP001250;DUOTRAV - FLACON / 2,5 ml
ARP000543;BIDONTOGYL - BOITE / 15
ARP003821;VERAX BLU - FLACON / 30 ml
ARP002009;KETONAL - BOITE / 5
ARP001649;GENES VIT MAGNESIUM 300 - BOITE / 10
ARP001599;FUCLO - FLACON / 100 ml
ARP001205;DOLORA - BOITE / 5
ARP000615;BRUSTAN - BOTE / 20
ARP000037;ACTINAC - BOITE / 30
ARP003286;SIMVA-DENK - BOITE / 30
ARP002712;OTRIVINE MENTHOL - FLACON / 10 ml
ARP002339;METRONIDAZOLE CSEP - BOITE / 1000
ARP002285;MELOBAX - BOITE / 20
ARP002220;M-CAM - BOITE / 10
ARP002156;LOFAT - BOITE / 30
ARP002011;KETONAL FORTE - BOITE / 20
ARP002009;KETONAL - TUBE / 50 G
ARP001599;FUCLO - BOITE / 24
ARP001321;ENA-DENK - BOITE / 30
ARP001198;DOLIPREX - BOITE / 8
ARP000484;BAITANET D - FLACON / 550 ml
ARP000369;ATROPINE SULFATE BIOTIS PHARMA - BOITE / 10 AMPOULES
ARP000344;ASTAPH - BOITE / 24
ARP000344;ASTAPH - FLACON / 100 ml
ARP003283;SILVEREX - POT / 250 G
ARP002437;MYONIT SR 2 - nan
ARP002140;LIPOSIC - TUBE / 10 G
ARP002010;KETONAL DUO - BOITE / 20
ARP001759;GYNOSPAN - BOITE / 10
ARP001223;DOTAREM - FLACON / 10 ml
ARP001223;DOTAREM - FLACON / 20ml
ARP001223;DOTAREM - FLACON / 15 ml
ARP002898;PIROFTAL - FLACON / 10 ml
ARP003700;TROYNOXA - BOITE / 1 SERINGUE PRE-REMPLIE
ARP003687;TRITAZIDE 10mg/25mg COMPRIME B/28 - BOITE / 28
ARP002558;NORCURON - BOITE / 10
ARP002232;MAGNESIE SAN PELLIGRINO - FLACON / 125 G
ARP001414;EXLUTON - BOITE / 100 BLISTERS DE 28
ARP001414;EXLUTON - BOITE / 100 BLISTERS
ARP003421;SUPAFEN - BOITE / 10
ARP003235;SECAMIB - BOITE / 2
ARP002900;PIROXEN - BOITE / 12
ARP000922;COFANTRINE ADULTE - BOITE / 6
ARP000550;BILOR - FLACON / 60 ml
ARP000207;AMOXICILLINE PANPHARMA - BOITE / 12
ARP003707;TULLE GRAS SOLVAY - BOITE / 10
ARP003422;SUPAFEN CP - BOITE / 10
ARP002470;NAUSELIUM SIROP - FLACON / 200 ml
ARP002362;MIFLONIL - BOITE / 60
ARP000207;AMOXICILLINE PANPHARMA - BOITE / 1 FLACON
ARP002706;OSMULE SCHT - BOITE / 10
ARP003679;TRIMAREL - FLACON / 60 ml
ARP000781;CHLORURE DE POTASSIUM AGUETTANT - BOITE / 50
ARP003481;TAGUAR - BOITE / 100
ARP002856;PEVAGINE - BOITE / 3
ARP002788;PARACETAMOL LINCOLN - BOITE / 1000
ARP002383;MOLGAM - BOITE / 10
ARP002332;METRODINAZOLE ORCHID - FLACON / 100 ml
ARP002027;KOACT - FLACON / 100 ml
ARP002027;KOACT - BOITE / 15
ARP001231;DOXYCYLINE LABORATORIE MEDICALS - BOITE / 100
ARP000735;CEFUXIME - BOITE / 10
ARP000583;BLAISHAL - BOITE / 20
ARP000578;BISOPROLOL EG - BOITE / 30
ARP000403;AZICURE - BOITE / 6
ARP000205;AMOXICILLINE EG - BOITE / 14
ARP003680;TRIMEBUTINE EG - BOITE / 30
ARP003667;TRIBUTINE ARROW - FLACON / 250 ml
ARP003598;THIOCOLCHICOSIDE EUROGENERIQUE - BOITE / 12
ARP003413;SULFATE FERREUX ET ACIDE FOLIQUE PURE PHARMA - BOITE / 1000
ARP002896;PIRA - BOITE / 100
ARP002662;OMEPRAZOLE LINCOLN - BOITE / 100
ARP002383;MOLGAM - BOITE / 20
ARP002336;METRONIDAZOLE BENZOATE LINCOLN - FLACON / 60 ml
ARP001866;IBUPROFEN LINCOLN - BOITE / 1000
ARP000572;BIPERIDYS - BOITE / 40
ARP000360;ATENOLOL MEDICO REMEDIES - BOITE / 28
ARP003344;SPIRALIDE - BOITE / 16
ARP002575;NOVOCLIN - BOITE / 12
ARP002557;NORADRENALINE / NOREPINEPHRINE AGUETTANT - BOITE / 10 AMPOULES DE 4 ml
ARP001561;FLUSTAPH - FLACON / 100 ml
ARP001561;FLUSTAPH - BOITE / 12
ARP001527;FLUCIDAL - TUBE / 40 G
ARP000841;CIVASTINE - BOITE / 28
ARP000841;CIVASTINE - BOITE / 14
ARP000725;CEFTAZIDIME AGUETTANT - BOITE / 10 FLACONS
ARP002782;PARACETAMOL AFRICASOINS - BOITE / 20
ARP000058;ADVIL - BOITE / 20
ARP001676;GLIBENCLAMIDE PURE PHARMA - BOITE / 100
ARP000823;CIPROFLOXACINE LINCOLN - BOITE / 100
ARP003679;TRIMAREL - BOITE / 60
ARP003532;TENBETA - BOITE / 100
ARP002576;NOVOMIX - BOITE / 5 STYLOS PRE-REMPLIS DE 3 ml
ARP002575;NOVOCLIN - BOITE / 16
ARP002317;METFORMINE PURE PHARMA - BOITE / 100
ARP002007;KETOFLEX - BOITE / 10
ARP002007;KETOFLEX - BOITE / 24
ARP001938;IRINOGEN - FLACON / 5 ml
ARP001245;DROX - BOITE / 10
ARP000735;CEFUXIME - BOITE / 1 FLACON
ARP000673;CARBAMAZEPINE SURGI & MEDIC - BOITE / 100
ARP000526;BETASTENE - FLACON / 30 ml
ARP000377;AUROCEF - BOITE / 10
ARP000101;ALFAPROXINE - BOITE / 10
ARP002638;OFLOXACINE AGUETTANT - BOITE / 20 POCHES DE 40 ml
ARP002458;NALBUPHINE AGUETTANT - BOITE / 10
ARP001689;GLIVEC - BOITE / 60
ARP000855;CLARTEC - FLACON / 120 ml
ARP003509;TEBINISTIL - BOITE / 14
ARP003355;SPRALIDE - BOITE / 10
ARP003177;ROXILIN - BOITE / 30
ARP003049;RAMIDEX - FLACON / 5 ml
ARP002324;METHYLDOPA NORTH CP CHINE - BOITE / 100
ARP001750;GYNANFORT - BOITE / 10
ARP001533;FLUCONAZOLE AGUETTANT - BOITE / 10 POCHES DE 100 ml
ARP001533;FLUCONAZOLE AGUETTANT - BOITE DE 10 POCHES DE 50 ml
ARP001529;FLUCOMOL - BOITE / 30
