Nom du Medicament,Numero AMM,Date Début,Prix Public,DCI,dosage,Conditionnement,Forme Galénique,Laboratoire,Voie d’administration,classe thérapeutique,RCP,Notice,Image
GENCLAV,5978,8/10/2012,6095,ACIDE CLAVULANIQUE / AMOXICILLINE,1000 mg / 125 mg,BOITE / 16,SACHET,LIKATA PHARMACEUTICAL LTD,ORALE,ANTIBIOTIQUE,RCP,Notice,Image
FLAGYL AROME CITRON,5958,8/10/2012,1462,METRONIDAZOLE,200 mg / 5 ml,FLACON / 60 ml,SIROP,WINTHROP PHARMA SENEGAL,ORALE,ANTIPARASITAIRE,RCP,Notice,Image
FER ACIDE FOLIQUE WINTHROP,5996,8/10/2012,8363,ACIDE FOLIQUE / FUMARATE DE FER,0.25 mg / 200 mg,BOITE / 1000,COMPRIMÉ,WINTHROP PHARMA SENEGAL,ORALE,ANTIANEMIQUE,RCP,Notice,Image
ESLOTIN,5988,8/10/2012,1463,DESLORATADINE,0.5 mg / ml,FLACON / 120 ml,SIROP,MEDREICH,ORALE,ANTIHISTAMINIQUE,RCP,Notice,Image
DIPREZAR FORT,5959,8/10/2012,9326,HYDROCHLOROTHIAZIDE / LOSARTAN,100 mg / 25 mg,BOITE / 28,COMPRIMÉ,BOTTU SA,ORALE,ANTIHYPERTENSEUR,RCP,Notice,Image
DEXTROCIDINE,5989,8/10/2012,1341,DEXTROMETHORPHANE BROMHYDRATE,0.30%,FLACON / 150 ml,SIROP,THERABEL LUCIEN PHARMA,ORALE,ANTITUSSIF,RCP,Notice,Image
CACEF,5967,8/10/2012,4877,CEFPODOXIME,200 mg,BOITE / 6,COMPRIMÉ,CACHET PHARMACEUTICALS PVT LTD,ORALE,ANTIBIOTIQUE,RCP,Notice,Image
BIFOSA,6004,8/10/2012,7315,ALENDROATE DE SODIUM,70 mg,BOITE / 4,COMPRIMÉ,TROIKAA PHARMACEUTICALS LIMITED,ORALE,BISPHOSPHONATES,RCP,Notice,Image
BALLONYL,5994,8/10/2012,3779,CHARBON VEGETAL,162 mg,BOITE / 60,GÉLULE,DEVA PHARMACEUTIQUE,ORALE,ADSORBANT INTESTINAL,RCP,Notice,Image
ANTIPLATT,5957,8/10/2012,15483,CLOPIDOGREL,75 mg,BOITE / 30,COMPRIMÉ,TROIKAA PHARMACEUTICALS LIMITED,ORALE,ANTIAGGREGANT PLAQUETTAIRE,RCP,Notice,Image
TROPHYL N PLUS,5935,30/08/2012,671,HUILE D’EUCALYPTUS / PARACETAMOL / TENOATE DE SODIUM,150 mg / 44 mg / 64 mg,BOITE / 8,SUPPOSITOIRE,SALEM,RECTALE,ANTITUSSIF,RCP,Notice,Image
TROPHYL N,5936,30/08/2012,671,HUILE D’EUCALYPTUS / TENOATE DE SODIUM,44 mg / 95 mg,BOITE / 8,SUPPOSITOIRE,SALEM,RECTALE,ANTITUSSIF,RCP,Notice,Image
TROPHYL E PLUS,5934,30/08/2012,731,HUILE D’EUCALYPTUS / PARACETAMOL / TENOATE DE SODIUM,130 mg / 300 mg / 75 mg,BOITE / 8,SUPPOSITOIRE,SALEM,RECTALE,ANTITUSSIF,RCP,Notice,Image
SIMVAX,5940,30/08/2012,7071,SIMVASTATINE,20 mg,BOITE / 30,COMPRIMÉ,IBN AL BAYTAR (iAB),ORALE,HYPOCHOLESTEROLEMIANT,RCP,Notice,Image
CD3,5937,30/08/2012,5242,CALCIUM / VITAMINE D3,"2,5 mcg / 300 mg",BOITE / 24,COMPRIMÉ,DEVA PHARMACEUTIQUE,ORALE,VITAMINES,RCP,Notice,Image
ANTALGEX T,5939,30/08/2012,1719,PARACETAMOL / TRAMADOL,"325 mg / 37,5 mg",BOITE / 20,GÉLULE,EXPHAR S.A,ORALE,ANTALGIQUE,RCP,Notice,Image
AMIODAR 200mg CP,5941,27/08/2012,4023,AMIODARONE,200 mg,BOITE / 30,COMPRIMÉ,MICRO LABS LIMITED,ORALE,ANTIANGOREUX,RCP,Notice,Image
RELENZA,5929,13/08/2012,28041,ATAZANAVIR,5 mg,1 DISKHALER / 5 DISQUES DE 4 RECIPIENTS UNIDOSES,INHALATEUR À POUDRE SÉCHE,GLAXO SMITH KLINE,INHALEE,ANTIVIRAL,RCP,Notice,Image
INUCEF,5955,8/8/2012,2621,CEFUROXIME,250 mg,BOITE / 10,COMPRIMÉ,INFUGEN PHARMA PVT LTD,ORALE,ANTIBIOTIQUE,RCP,Notice,Image
SUTRIL NEO,5931,11/7/2012,3926,HYDROCHOLROTHIAZIDE/LISINOPRIL,,BOITE / 60,COMPRIMÉ,FERRER INTERNATIONAL S.A.,ORALE,antagonistes,RCP,Notice,Image
SUTRIL NEO,5932,11/7/2012,2377,TORASEMIDE,5 mg,BOITE / 30,COMPRIMÉ,FERRER INTERNATIONAL S.A.,ORALE,ANTICANCEREUX,RCP,Notice,Image
NOVEX,5960,11/7/2012,3657,ENOXAPARINE,"2000 UI/0,2 ml",BOITE / 2 SERINGUES PRE-REMPLIES,SOLUTION INJECTABLE,SOTHEMA,SOUS CUTANEE,ANTICOAGULANT,RCP,Notice,Image
BIPRETERAX ARGININE,5890,11/7/2012,11996,INDAPAMIDE / PERINDOPRIL,"1,25 mg / 5 mg",BOITE / 30,COMPRIMÉ PELLICULÉ,SERVIER,ORALE,ANTIHYPERTENSEUR,RCP,Notice,Image
XENETIX,5902,2/4/2012,81074,IOBITRIDOL,370mg /ml,FLACON / 200 ml,SOLUTION INJECTABLE,GUERBET,INJECTABLE,PRODUIT DE CONTRASTE,RCP,Notice,Image
XENETIX,5901,2/4/2012,43268,IOBITRIDOL,350 mg,FLACON / 100 ml,SOLUTION INJECTABLE,GUERBET,INJECTABLE,PRODUIT DE CONTRASTE,RCP,Notice,Image
XENETIX,5903,2/4/2012,19263,IOBITRIDOL,350 mg,FLACON / 50 ml,SOLUTION INJECTABLE,GUERBET,INJECTABLE,PRODUIT DE CONTRASTE,RCP,Notice,Image
XENETIX,5900,2/4/2012,19263,IOBITRIDOL,350 mg,FLACON / 50 ml,SOLUTION INJECTABLE,GUERBET,INJECTABLE,PRODUIT DE CONTRASTE,RCP,Notice,Image
SUNLIFE VITAMINE A-Z+LUTEINE,5889,2/4/2012,4389,"Acide citrique, sodium hydrogéne de carbonate, vit C, carbonate de calcium, carbonate de magnésium, acide de nicitine anude, vit E, calcium-D-pantothenate, vit B6, vit B2, vit B1, acide",,BOITE / 60,COMPRIMÉ,SUNLIFE PRODUKTIONS-UND,ORALE,VITAMINES,RCP,Notice,Image
SUNLIFE,5881,2/4/2012,1950,"Acide citrique, sodium hydrogéne de carbonate, vit C, carbonate de calcium, carbonate de magnésium, acide de nicitine anude, vit E, calcium-D-pantothenate, vit B6, vit B2, vit B1, acide",,TUBE / 20,COMPRIMÉ,SUNLIFE PRODUKTIONS-UND,ORALE,VITAMINES,RCP,Notice,Image
OPTIDEX-T CY,5894,2/4/2012,2313,DEXAMETHASONE / TOBRAMYCINE,1 mg / 3 mg,FLACON / 5 ml,COLLYRE,JAMJOOM PHARMA,ORALE,ANTIBIOTIQUE,RCP,Notice,Image
ELICA,5925,2/4/2012,2926,FUROATE,,TUBE / 30 G,POMMADE DERMIQUE,JAMJOOM PHARMA,CUTANEE,ANTIINFLAMMATOIRE STEROIDIEN,RCP,Notice,Image
DOMPY,5891,2/4/2012,1646,DOMPERIDONE,1 mg / ml,FLACON / 200 ml,SUSPENSION BUVABLE,JAMJOOM PHARMA,ORALE,ANTIEMETIQUE,RCP,Notice,Image
DIETAZ,5923,2/4/2012,3401,,,FLACON / 125 ml,SIROP,ODYPHARM-BIOSPHERE,ORALE,PRODUIT POUR CONFORT DIGESTIF,RCP,Notice,Image
DAIVOBET,5908,2/4/2012,51936,BETAMETHASONE / CALCIPOTRIOL,0.5 mg / 50 mcg,TUBE / 60 G,POMMADE DERMIQUE,LEO PHARMACEUTICAL PRODUCT LTD,ORALE,ANTIPSORIASIS,RCP,Notice,Image
CEFEXOL,5892,2/4/2012,2585,CEFIXIME,100 mg / 5 ml,FLACON / 30 ml,SUSPENSION BUVABLE,NABIQUASIM INDUSTRIES PVT LTD,ORALE,ANTIBIOTIQUE,RCP,Notice,Image
ANGIZAAR,5912,2/4/2012,9144,LOSARTAN,50 mg,BOITE / 30,COMPRIMÉ,MICRO LABS LIMITED,ORALE,ANTIHYPERTENSEUR,RCP,Notice,Image
FERLIX,5915,19/03/2012,1219,ACIDE FOLIQUE / GLYCINE SULFATE FERREUX,0.5 mg / 150 mg,BOITE / 9,GÉLULE,B&O PHARM,ORALE,ANTIANEMIQUE,RCP,Notice,Image
XARELTO,5919,14/03/2012,60958,RIVAROXABAN,10 mg,BOITE / 10,COMPRIMÉ,BAYER SHERING PHARMA,ORALE,ANTICOAGULANT,RCP,Notice,Image
PENTASA,5928,14/03/2012,44255,MESALAZINE,500 mg,BOITE / 100,COMPRIMÉ,FERRING S.A.S,ORALE,MEDICAMENTS UTILISES DANS LE TRAITEMENT DE LA MALADIE DE CROHN ET LA RECTOCOLITE HEMMORRAGIQUE,RCP,Notice,Image
LODINE,5911,14/03/2012,5230,ETODOLAC,300 mg,BOITE / 20,COMPRIMÉ PELLICULÉ,DEXO,ORALE,ANTIINFLAMMATOIRE NON STEROÏDIEN,RCP,Notice,Image
FASTORIK,5886,14/03/2012,1463,ACIDE ASCORBIQUE / PARACETAMOL / PHENIRAMINE,200 mg / 25 mg / 500 mg,BOITE / 20,SACHET,PLETHICO PHARMACEUTICALS LTD,ORALE,ANTIGRIPPAL,RCP,Notice,Image
CRESTOR,5921,14/03/2012,16215,ROSUVASTATINE,10 mg,BOITE / 30,COMPRIMÉ,ASTRA ZENECA,ORALE,HYPOCHOLESTEROLEMIANT,RCP,Notice,Image
CORNEREGEL,5914,14/03/2012,2438,DEXPANTHENOL,50 mg,TUBE / 10 G,GEL OPHTALMIQUE,CHAUVIN BAUSC LOMB GMBH,OCULAIRE,SUPPLEANCE LACRYMALE,RCP,Notice,Image
XENETIX,5904,13/03/2012,37867,IOBITRIDOL,300 mg / ml,FLACON / 100 ml,SOLUTION INJECTABLE,GUERBET,INJECTABLE,PRODUIT DE CONTRASTE,RCP,Notice,Image
TRIFAMOX IBL,5898,13/03/2012,8473,AMOXICILLINE / SULBACTAM,250 mg,FLACON / 60 ml,SUSPENSION BUVABLE,BAGO SA,ORALE,ANTIBIOTIQUE,RCP,Notice,Image
TRIFAMOX IBL,5897,13/03/2012,3023,AMOXICILLINE / SULBACTAM,1000 mg / 500 mcg,BOITE / 1,SUSPENSION INJECTABLE,BAGO SA,INJECTABLE,ANTIBIOTIQUE,RCP,Notice,Image
TRIALGIC,5917,13/03/2012,1585,CAFEINE / IBUPROFENE / PARACETAMOL,200 mg / 30 mg / 325 mg,BOITE / 24,GÉLULE,B&O PHARM,ORALE,ANTALGIQUE,RCP,Notice,Image
RAMIZID,5888,13/03/2012,3535,HYDROCHLOROTHIAZIDE / RAMIPRIL,"12,5 mg / 2,5 mg",BOITE / 30,COMPRIMÉ,SANDOZ GMBH,ORALE,ANTIHYPERTENSEUR,RCP,Notice,Image
PENTASA,5927,13/03/2012,21981,MESALAZINE,1000mg/100ml,BOITE / 5,SUSPENSION RECTALE,FERRING S.A.S,INJECTABLE,MEDICAMENTS UTILISES DANS LE TRAITEMENT DE LA MALADIE DE CROHN ET LA RECTOCOLITE HEMMORRAGIQUE,RCP,Notice,Image
PEDIAVIT SP,5918,13/03/2012,1341,GLUCONATE DE MAGNESIUM / VAMINE B2 / VITAMINE A PALMITATE / VITAMINE B 12 / VITAMINE B1 / VITAMINE B3 / VITAMINE B5 / VITAMINE B6 / VITAMINE C / VITAMINE D3,,FLACON / 100 ml,SIROP,B&O PHARM,ORALE,COMPLEMENT ALIMENTAIRE,RCP,Notice,Image
PAVEN,5885,13/03/2012,1420,PARACETAMOL,1000 mg,FLACON / 100 ml,SOLUTION POUR PERFUSION,SANAVITA PHARMACEUTICAL,INTRA VEINEUSE,ANTALGIQUE,RCP,Notice,Image
OSPEN,2895,13/03/2012,0,BENZATHINEPHENOXYMETHYL PENICILLINE,400000 UI,FLACON / 60 ml,SUSPENSION BUVABLE,SANDOZ,ORALE,ANTIBIOTIQUE,RCP,Notice,Image
NOCOLIC BB,5884,13/03/2012,914,ANETHUM GRAVEOLANS / SUCRE,"0.005 mg / 1,10 g",FLACON / 130 ml,SIROP,ODYPHARM LTD,ORALE,ANTISPASMODIQUE,RCP,Notice,Image
MIRENA,5926,13/03/2012,115820,LEVONORGESTREL,52 mcg,BOITE / 1,,BAYER SHERING PHARMA,,CONTRACEPTIF,RCP,Notice,Image
IRYS,5880,13/03/2012,2377,GLIMEPIRIDE,1 mg,BOITE / 30,COMPRIMÉ,MEDIS,ORALE,ANTIDIABETIQUE,RCP,Notice,Image
GDU-L,5887,13/03/2012,9692,CLARITHROMYCINE / LANSOPRAZOLE / TINIDAZOLE,250 mg / 30 / 500 mg,BOITE / 7 KITS DE 7,COMPRIMÉ,PLETHICO PHARMACEUTICALS LTD,ORALE,ANTITUSSIF,RCP,Notice,Image
FLOTRAL,5893,13/03/2012,5754,ALFUZOSINE HYDROCHLORIDE MODIFIE,10 mg,BOITE / 10,COMPRIMÉ,RANBAXY LABORATOIRES LIMITED,ORALE,MEDICAMENTS UTILISES DANS LE TRAITEMENT DE L’HYPERTROPHIE BENIGNE DE LA PROSTATE,RCP,Notice,Image
FERLIX B12,5916,13/03/2012,1707,ACIDE FOLIQUE / CITRATE D’AMMONIUM FERRIQUE / VITAMINE B 12,0.5 mg / 200 mg / 5 mcg,FLACON / 200 ml,SIROP,B&O PHARM,ORALE,ANTIANEMIQUE,RCP,Notice,Image
FEMARA,5895,13/03/2012,192383,LETROZOLE,"2,5 mg",BOITE / 30,COMPRIMÉ,NOVARTIS PHARMA,ORALE,ANTICANCEREUX,RCP,Notice,Image
CRESTOR,5920,13/03/2012,23164,ROSUVASTATINE,20 mg,BOITE / 30,COMPRIMÉ,ASTRA ZENECA,ORALE,HYPOCHOLESTEROLEMIANT,RCP,Notice,Image
CRESTOR,5922,13/03/2012,10070,ROSUVASTATINE,5 mg,BOITE / 30,COMPRIMÉ,ASTRA ZENECA,ORALE,HYPOCHOLESTEROLEMIANT,RCP,Notice,Image
COFANTRINE,5883,13/03/2012,975,ARTEMETHER / LUMEFANTRINE,120 mg / 20 mg,BOITE / 6,COMPRIMÉ,EGR PHARMA,ORALE,ANTIPALUDIQUE,RCP,Notice,Image
AZARGA,5924,13/03/2012,15727,BRINZOLAMIDE / TIMOLOL,10 mg / 5mg/ml,FLACON / 5 ml,COLLYRE,ALCON FRANCE,OCULAIRE,ANTIGLAUCOMATEUX,RCP,Notice,Image
ARTELAC,5913,13/03/2012,3133,HYPROMELLOSE,"3,20 mg/ml",FLACON / 10 ml,COLLYRE,CHAUVIN BAUSC LOMB GMBH,OCULAIRE,SUPPLEANCE LACRYMALE,RCP,Notice,Image
ARIMIDEX,5910,13/03/2012,135083,ANASTROZOLE,1 mg,BOITE / 30,COMPRIMÉ,ASTRA ZENECA,ORALE,ANTICANCEREUX,RCP,Notice,Image
ARBITEL,5907,13/03/2012,10363,TELMISARTAN,80 mg,BOITE / 30,COMPRIMÉ,MICRO LABS LIMITED,ORALE,ANTIHYPERTENSEUR,RCP,Notice,Image
ARBITEL,5906,13/03/2012,8839,TELMISARTAN,40 mg,BOITE / 30,COMPRIMÉ,MICRO LABS LIMITED,ORALE,ANTIHYPERTENSEUR,RCP,Notice,Image
BD-LOX,5853,29/09/2011,7193,CIPROFLOXACINE,750 mg,BOITE / 10,COMPRIMÉ,BDA PHARMA PVT LTD,ORALE,ANTIBIOTIQUE,RCP,Notice,Image
PNEUMOXOL,5847,22/09/2011,1707,AMBROXOL,15mg/5ml,FLACON / 100 ml,SIROP,SANDOZ GMBH,ORALE,MUCOLYTIQUE,RCP,Notice,Image
METEOSPASMYL,5854,22/09/2011,3048,CITRATE DE DIPROPYLLINE / SIMETHICONE,300 mg / 60 mg,BOITE / 30,COMPRIMÉ,MAYOLY SPINDLER,ORALE,ANTISPASMODIQUE,RCP,Notice,Image
LEVO BD,5873,22/09/2011,2072,LEVONORGESTREL,"1,5 mg",BOITE / 1,COMPRIMÉ,BDA PHARMA PVT LTD,ORALE,CONTRACEPTIF,RCP,Notice,Image
FLOTAC,5878,22/09/2011,6084,DICLOFENAC RESINATE,145 mg,BOITE / 20,GÉLULE,NOVARTIS PHARMA,ORALE,ANTIINFLAMMATOIRE NON STEROÏDIEN,RCP,Notice,Image
ESOREST,5874,22/09/2011,4755,ESOMEPRAZOLE,40 mg,BOITE / 10,COMPRIMÉ,CENTAUR PHARMACEUTICALS PVT LTD,ORALE,inhibiteurs de la pompe,RCP,Notice,Image
ELOXATIN,5563,22/09/2011,493761,OXALIPLATINE,5mg/ml,FLACON / 20 ml,SOLUTION INJECTABLE,SANOFI AVENTIS,INJECTABLE,ANTICANCEREUX,RCP,Notice,Image
RINGER LACTATE DOUBLE DOVE,5834,28/08/2011,609,CHLORURE DE SODUIM/CHLORURE DE POTASSIUM/LACTATE DE SODUIM/CHLORURE DE CALIUM,,FLACON / 500 ml,SOLUTION INJECTABLE,DOUBLE-DOVE AFRICA-NATIC,INTRA VEINEUSE,,RCP,Notice,Image
PARACETAMOL WINTHROP,5799,28/08/2011,219,PARACETAMOL,500 mg,BOITE / 20,COMPRIMÉ,WINTHROP PHARMA SENEGAL,ORALE,ANTALGIQUE,RCP,Notice,Image
INTRAXONE 1 G,5836,28/08/2011,3657,CEFTRIAXONE,1 g,BOITE / 1 FLACON,POUDRE POUR PRÉPARATION INJECTABLE,LDP LABORATOIRE TORLAN,INTRAMUSCULAIRE/INTRAVEINEUSE,ANTIBIOTIQUE,RCP,Notice,Image
GLUCOSE ISOTONIQUE,5833,28/08/2011,609,GLUCOSE ANHYDRE,5%,FLACON / 500 ml,SOLUTION POUR PERFUSION,DOUBLE-DOVE AFRICA-NATIC,INTRA VEINEUSE,SOLUTE DE REMPLISSAGE,RCP,Notice,Image
KESTINE,5865,24/08/2011,3657,EBASTINE,20 mg,BOITE / 10,COMPRIMÉ,ALMIRALL SA,ORALE,ANTIALLERGIQUE,RCP,Notice,Image
CLAVUJECT,5838,19/08/2011,1525,ACIDE CLAVULANIQUE / AMOXICILLINE,1000 mg / 200 mg,BOITE / 1 FLACON,POUDRE POUR PRÉPARATION INJECTABLE,IMEX PHARMA,INJECTABLE,ANTIBIOTIQUE,RCP,Notice,Image
YANG CHUN,5868,18/08/2011,9753,ELEUTHEROCOCCUS / EXTRAIT DE PHYTUM KOREANUM / LEAF OF GINGKO BILOBA / PAEKDUSAN GUANNMOK DOBUSALII / SAMJANGCHONCHO SAESAM / VITAMINE E,,BOITE / 6,GÉLULE,PHARMA PRODUCT MANUFACTURING (PPM),ORALE,APHRODISIAQUE,RCP,Notice,Image
TUSSIDANE,5861,18/08/2011,1585,DEXTROMETHORPHANE,1,FLACON / 125 ml,SIROP,ELERTE,ORALE,antitussifs,RCP,Notice,Image
TRAUSAN,5843,18/08/2011,12472,CITICOLINE,100,FLACON / 50 ml,SIROP,VICTORIA SA GROUPE FAES,ORALE,PSYCHOTONIQUE,RCP,Notice,Image
TODAY PILL,5864,18/08/2011,2072,LEVONORGESTREL,0.75 mg,BOITE / 2,COMPRIMÉ,BLISS GVS PHARMA LTD,ORALE,CONTRACEPTIF,RCP,Notice,Image
SHELCAL,5839,18/08/2011,2804,CARBONATE DE CALCIUM / VITAMINE D3,125 / 250 mg,BOITE / 30,COMPRIMÉ,ELDER PHARMACEUTICALS LTD,ORALE,COMPLEMENT ALIMENTAIRE,RCP,Notice,Image
RUBIX HOT GEL,5875,18/08/2011,1548,HUILE D’EUCALYPTUS / HUILE DE TURPENTINE / MENTHOL,1 % / 12 % / 5 %,TUBE / 30 G,GEL DERMIQUE,ODYPHARM LTD,CUTANEE,ANTALGIQUE,RCP,Notice,Image
PULMODEXANE,5877,18/08/2011,1548,DEXTROMETHORPHANE,30 mg,BOITE / 12,COMPRIMÉ,BAiLLY- CREAT,ORALE,ANTITUSSIF,RCP,Notice,Image
ODAFT,5860,18/08/2011,1829,FLUCONAZOLE,150 mg,BOITE / 1,COMPRIMÉ,PLETHICO PHARMACEUTICALS LTD,ORALE,ANTIFONGIQUE,RCP,Notice,Image
MINOLIP,5870,18/08/2011,3840,SIMVASTATINE,10 mg,BOITE / 10,COMPRIMÉ,ODYPHARM LTD,ORALE,HYPOCHOLESTEROLEMIANT,RCP,Notice,Image
MINOLIP,5871,18/08/2011,2499,SIMVASTATINE,10 mg,BOITE / 10,COMPRIMÉ,ODYPHARM LTD,ORALE,HYPOCHOLESTEROLEMIANT,RCP,Notice,Image
MELOCAM,5862,18/08/2011,4876,MELOXICAM,7.5 mg,BOITE / 50,COMPRIMÉ,MACLEODS PHARMACEUTICALS LTD,ORALE,ANTIINFLAMMATOIRE NON STEROÏDIEN,RCP,Notice,Image
LORACTIV,5867,18/08/2011,1012,LORATADINE,5,FLACON / 60 ml,SIROP,PLETHICO PHARMACEUTICALS LTD,ORALE,ANTIALLERGIQUE,RCP,Notice,Image
IMAZOLE,5856,18/08/2011,2072,CLOTRIMAZOLE,200 mg,BOITE / 3,OVULE,GVS BLISS PHARMA,VAGINALE,ANTIFONGIQUE,RCP,Notice,Image
GINIL,5855,18/08/2011,2353,ACIDE PYRUVIQUE,,FLACON / 250 ml,SOLUTION À USAGE EXTERNE,RAMOPHARM Sarl,VAGINALE,,RCP,Notice,Image
DOMPY,5849,18/08/2011,1463,DOMPERIDONE,10 mg,BOITE / 30,COMPRIMÉ,JAMJOOM PHARMA,ORALE,ANTIEMETIQUE,RCP,Notice,Image
DIFENASOL,5844,18/08/2011,939,DICLOFENAC,0.10%,FLACON / 5 ml,COLLYRE,EXPHAR S.A,OCULAIRE,ANTIINFLAMMATOIRE NON STEROÏDIEN,RCP,Notice,Image
DIAMICRON,5876,18/08/2011,12142,GLICAZIDE,60 mg,BOITE / 30,COMPRIMÉ SÉCABLE,SERVIER INDUSTRIE,ORALE,ANTIDIABETIQUE,RCP,Notice,Image
DIAGLIM,5851,18/08/2011,3243,GLIMEPIRIDE,3 mg,BOITE / 30,COMPRIMÉ,SANDOZ GMBH,ORALE,ANTIDIABETIQUE,RCP,Notice,Image
COOLZ,5846,18/08/2011,1158,COMPLEXE D’HYDROXYDE DE POLYMALTOSE DE FER / HYDROXYDE D’ALUMINIUM / TRISILICATE DE MAGNESIUM,25 mg / 300 mg / 50 mg,FLACON / 200 ml,SIROP,PLETHICO PHARMACEUTICALS LTD,ORALE,ANTIULCEREUX,RCP,Notice,Image
CESAVESS,5842,18/08/2011,2572,CEFUROXIME,1500 mg,BOITE / 1 FLACON,POUDRE POUR PRÉPARATION INJECTABLE,PFIZER,INTRA VEINEUSE,ANTIBIOTIQUE,RCP,Notice,Image
ARTHEPA-I,5840,18/08/2011,3352,ARTEMETHER,80 mg,BOITE / 6,AMPOULE INJECTABLE,BDA PHARMA PVT LTD,INJECTABLE,ANTIPALUDIQUE,RCP,Notice,Image
ARTECOM,5848,18/08/2011,5486,DIHYDROARTEMISINE / PIPERAQUINE / TRIMETHOPRIME,32 mg / 320 mg / 90 mg,BOITE / 12,COMPRIMÉ,ODYPHARM LTD,ORALE,ANTIPALUDIQUE,RCP,Notice,Image
AMICIN,5837,18/08/2011,621,AMIKACINE,500 mg,BOITE / 1,AMPOULE INJECTABLE,BIOCHEM PHARMACEUTICAL INDUSTRIES LTD,INJECTABLE,ANTIBIOTIQUE,RCP,Notice,Image
AMAPINE,5857,18/08/2011,4876,AmlODIPINE,5 mg,BOITE / 30,COMPRIMÉ,MACLEODS PHARMACEUTICALS LTD,ORALE,ANTIHYPERTENSEUR,RCP,Notice,Image
ALTRAFLAM,5845,18/08/2011,1999,ACECLOFENAC,100 mg,BOITE / 10,COMPRIMÉ,RANBAXY LABORATOIRES LIMITED,ORALE,ANTIINFLAMMATOIRE NON STEROÏDIEN,RCP,Notice,Image
TRANSLIPO-C,5811,25/03/2011,1341,CLOTRIMAZOLE,200 mg,TUBE / 20 G,CRÈME DERMIQUE,CENTAUR PHARMACEUTICALS PVT LTD,CUTANEE,ANTIFONGIQUE,RCP,Notice,Image
TORLASINE,5835,25/03/2011,1463,CLOXACILLINE,500 mg,BOITE / 12,GÉLULE,MEDREICH LIMITED,ORALE,ANTIBIOTIQUE,RCP,Notice,Image
TASONE,5802,25/03/2011,975,BETAMETHASONE,0.07%,TUBE / 15 G,CRÈME DERMIQUE,CENTAUR PHARMACEUTICALS PVT LTD,CUTANEE,ANTIINFLAMMATOIRE STEROIDIEN,RCP,Notice,Image
RHOCLONE,5801,25/03/2011,29991,IMMUNOGLOBULINES HUMAINES ANTI-D,300,BOITE / 1 FLACON,SOLUTION INJECTABLE,BHARAT SERUMS VACCINES LTD,INJECTABLE,IMMUNOSUPPRESSEUR,RCP,Notice,Image
PREFACE R,5817,25/03/2011,3657,RAMIPRIL,5 mg,BOITE / 30,COMPRIMÉ,CENTAUR PHARMACEUTICALS PVT LTD,ORALE,ANTIHYPERTENSEUR,RCP,Notice,Image
PREFACE R,5816,25/03/2011,3230,RAMIPRIL,"2,5 mg",BOITE / 30,COMPRIMÉ,CENTAUR PHARMACEUTICALS PVT LTD,ORALE,ANTIHYPERTENSEUR,RCP,Notice,Image
PRAZIQUANTEL ERNEST,5803,25/03/2011,12655,PRAZIQUANTEL,600 mg,BOITE / 100,COMPRIMÉ,ERNEST,ORALE,ANTIPARASITAIRE,RCP,Notice,Image
MYCOLEX,5805,25/03/2011,1036,MICONAZOLE,2%,TUBE / 20 G,CRÈME DERMIQUE,LUEX LTD,CUTANEE,ANTIFONGIQUE,RCP,Notice,Image
MEDVITE,5810,25/03/2011,2011,NICOTINAMIDE / VITAMINE A PALMITATE / VITAMINE B1 / VITAMINE B2 / VITAMINE B6 / VITAMINE C / VITAMINE D2,,FLACON / 200 ml,SIROP,MEDREICH,ORALE,VITAMINES,RCP,Notice,Image
DOMADOL,5829,25/03/2011,1926,TRAMADOL,50 mg,BOITE / 10,GÉLULE,UNICHEM,ORALE,ANTALGIQUE,RCP,Notice,Image
DOLORA,5825,25/03/2011,7729,TRAMADOL,200 mg,BOITE / 20,COMPRIMÉ,SANDOZ GMBH,ORALE,ANTALGIQUE,RCP,Notice,Image
CEFOVIT FORTE,5830,25/03/2011,2194,CEFALEXINE,250,FLACON / 60 ml,SUSPENSION BUVABLE,VIVENZA INTERNATIONAL,ORALE,ANTIBIOTIQUE,RCP,Notice,Image
BENZOX,5815,25/03/2011,1585,PEROXYDE DE BENZOLE,5%,TUBE / 40 G,GEL DERMIQUE,CENTAUR PHARMACEUTICALS PVT LTD,CUTANEE,ANTIACNEÏQUE,RCP,Notice,Image
BI PROFENID,5869,18/03/2011,3657,KETOPROFENE,150 mg,BOITE / 20,COMPRIMÉ À LIBÉRATION PROLONGÉE,SANOFI AVENTIS,ORALE,ANTIINFLAMMATOIRE NON STEROÏDIEN,RCP,Notice,Image
TERBITACK,5819,22/02/2011,3036,TERBINAFINE,1%,TUBE / 15 G,CRÈME DERMIQUE,CENTAUR PHARMACEUTICALS PVT LTD,CUTANEE,ANTIHEMORRAGIQUE,RCP,Notice,Image
TECPRIL,5809,22/02/2011,10363,RAMIPRIL,10 mg,BOITE / 30,GÉLULE,AFRiC PHAR,ORALE,ANTIHYPERTENSEUR,RCP,Notice,Image
TAGERA FORTE,5828,22/02/2011,1707,SECNIDAZOLE,1000 mg,BOITE / 2,COMPRIMÉ,UNICHEM,ORALE,ANTIPARASITAIRE,RCP,Notice,Image
